"question","design","value","theme_short_name","theme_explanation","overarching_theme_short_name","overarching_theme_explanation"
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","This is an over the shoulder logger that would be distracting in social and work situations. It could really only be worn during exercise.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","This is a necklace that would distract in any situation and would bounce around when working out.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","This is an arm band that would be great for exercise but would be distracting at work or in public.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Exercising","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","Exercising","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Exercising because it would fall off","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Running, jumping","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","except i am exercising or walking i can't have an arm band","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","I think that wearing it while I am working out would be difficult, as well as when gardening, or doing other outdoor work.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","This would be a bother pretty much all the time. I don't see how it could possibly stay on without falling off or getting caught on something.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","This necklace would definitely impede my movement plus I have long hair and it would easily get tangled.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","I think that this would be invasive and annoying outside of anything besides working out. This is completely inappropriate in any social situation.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Running, moving around a lot and taking a bath.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","High energy activities where I don't wear a hat or it might fall.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Any activity that involves a lot of movement.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Activities where I need to move freely.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Cooking and showering.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Maybe jogging? The fit might be flimsy.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","When it's raining or when I have do exercise (I don't like wearing glasses when running).","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Exercising. It looks like it would slip off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","It would get in the way of exercising.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","Exercises that include arm strength, like lifting weights.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","probably while eating or in a meeting with someone","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","probably when I am eating or in a conference meeting with group of people","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","During exercise I would be afraid it may fall off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Would bounce around too much while exercising","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","probably at the gym since I'm inside and ill be lifting weights","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","at the gym, it would just bother me or at a party","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","maybe at the gym","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","the gym or at a party","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","at the gym or anywhere really","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","It may be difficult to wear the light loggers possibly when cooking depending on the bulkiness of the device.  It would be difficult to wear while napping/sleeping. Also while swimming, if it is not water resistant.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","It would be difficult to wear the light logger while exercising . Especially while running  or doing any sort of jumping.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","It might be difficult to wear the light logger while at work. Especially if one already needs prescription glasses or a need to wear protective eye equipment while working.  Depending on the material of the glasses, it could be troublesome to wear if they become 'slippery' during exercise due to sweat.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","It would be difficult to wear the light loggers if you are in a more professional work setting trying to look presentable. Exercise would make one feel hotter, so it would  be uncomfortable to wear.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","This might be difficult to wear while exercising  as it continues to move around the neck area.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","Depending on the work environment, it would be difficult to wear if  you would have to crawl underneath spaces.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Activities such as running/jumping jacks. \swimming. Professional work environments.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","Work situations where one has to lift/move arms frequently (construction, factory)","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Wearing a light logger might be challenging during activities that involve water exposure, like swimming, or activities with excessive movement, like intense sports, as it could affect accurate light measurements. Additionally, situations where the device could be easily damaged or lost might not be ideal.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
