question,design,value
In what situations or activities do you think wearing the light logger might be difficult,glasses,"I think this would be difficult to wear when working out, laying around, in a social setting that would have a lot of attention drawn to my face (conversations)."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Not sure if this is just on a hat or the device is on the hat and you would be required to wear that specific hat, but as someone who doesn't wear hats, I would find the hat wearing to be the most difficult. Working out, social settings - it would be difficult all around."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Doing exercises. Doing anything that would require you to constantly bend at the hips and give this the potential to fall off or move around.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"I don't think this would make anything difficult, but this isn't something I would wear to a formal event, as that would make the attire a little awkward."
In what situations or activities do you think wearing the light logger might be difficult,necklace,Anything that would make it bounce around of swing around. Exercise or anything that would require me to lean down and pick something up (type of movement).
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"If I needed to put on long sleeve attire. I would worry about wearing it when working out and it not staying in place, but if it does, no issues there."
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Neckline of a top/shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"On your face, like a pair of glasses."
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,"On a hat, on your head."
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Around your neck.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,On your chest area of your shirt/top.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Around your neck.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Around your arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Something smaller that can be clipped on anywhere. I'm thinking something like the chest thing, but more around the size of a sleeve clasp. Earring, small bobby pin in the hair. Make it fashionable too so it can look good to wear it during a formal event - I think that was my biggest draw back from some of these."
Do you have any other comments on this survey?,general,No.
In what situations or activities do you think wearing the light logger might be difficult,wrist,In situations where I would need to move my arms around a lot.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,The logger would be difficult when moving around as I think it would be uncomfortable.
In what situations or activities do you think wearing the light logger might be difficult,glasses,It may be difficult to deal with for someone who doesn't regularly wear glasses.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I think it may be difficult to wear this during rigorous exercise because It might fall off.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Wearing this might be difficult during daily activities as I believe it can restrict your range of motion.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,I do not think it would be difficult as long as It is securely fashioned.
In what situations or activities do you think wearing the light logger might be difficult,necklace,during extensive exercise when jumping.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,If the logger was too tight or too loose it might be difficult to deal with.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Above the hand and on the lower arm.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,The logger Is on the collar of a shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,around the eyes.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,a clip attached to something you wear on your head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,laid upon shoulders
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,right chest area
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,around the neck and hangs down
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,around the arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Something less bulky and more wearable would be better, or maybe an anklet."
Do you have any other comments on this survey?,general,n/a
In what situations or activities do you think wearing the light logger might be difficult,wrist,doing dishes or anything to do with water
In what situations or activities do you think wearing the light logger might be difficult,collarpin,i don't think it's difficult but rather uncomfortable for the neck
In what situations or activities do you think wearing the light logger might be difficult,glasses,"Obstructs peripheral vision while driving, meetings or moving around the house"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,hot climate
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Might be generally uncomfortable around the collar
In what situations or activities do you think wearing the light logger might be difficult,chestpin,This wont affect any of my activities
In what situations or activities do you think wearing the light logger might be difficult,necklace,working out
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"moving around, wearing coats, workout"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,on glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,beanie or hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"hair clip, ring"
Do you have any other comments on this survey?,general,interesting designs
In what situations or activities do you think wearing the light logger might be difficult,wrist,in a public setting it might cause distraction
In what situations or activities do you think wearing the light logger might be difficult,collarpin,when not wearing a fully covered cloth
In what situations or activities do you think wearing the light logger might be difficult,glasses,when one does not need to cover the eyes
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"in the absence of hat, it can not be placed elsewhere"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,it may feel heavy on the neck
In what situations or activities do you think wearing the light logger might be difficult,chestpin,when one does not need an extra piece of anything on their cloth
In what situations or activities do you think wearing the light logger might be difficult,necklace,some persons do not wear neck accessories . it may feel as one
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,when one does not want discomfort on the arm
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,placed in a way it looks like a camera but not a camera
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,its placed close to the collar of ones cloth
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,its worn as a spectacle
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,it is clipped to the hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,it is worn as a neck gear
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,it is placed on the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,it is worn as a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,it is placed as a sleeve band
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,it can be placed behind the ear . with that it will not cause distractions
Do you have any other comments on this survey?,general,no. study was okay
In what situations or activities do you think wearing the light logger might be difficult,wrist,"as I'm assuming this device is not also a watch, I would likely find it uncomfortable to wear a watch like device on both arms."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I think it would look odd and would not want to wear it.
In what situations or activities do you think wearing the light logger might be difficult,glasses,"When I need my regular glasses for something, having to switch out."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I rarely wear hats.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,when I care what my outfit looks like
In what situations or activities do you think wearing the light logger might be difficult,chestpin,none
In what situations or activities do you think wearing the light logger might be difficult,necklace,If I was wearing other necklaces
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I would find it irritating on my upper arm
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,it appears to be worn on the wrist like a watch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,clipped to neckline of shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,they appear to be glasses/clipped on glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,clipped to hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck/over shoulders
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,pinned to clothing at chest height
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,around the neck like a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"a small clip (the size of a stamp) that can be attached anywhere that the person chooses. Have options for plain or clear design, and also decorative designs."
Do you have any other comments on this survey?,general,n/a
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Water sports, doing dishes near the window, dog walks (it could get tangled in the leash)"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,When you're bending down; on a roller coaster (environments with a lot of motion and wind)
In what situations or activities do you think wearing the light logger might be difficult,glasses,If I wear normal glasses during the day I'm unsure how to switch these or use them. Sitting in small or tight spaces such as public transit.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Hot weather, activities where a helmet is required, what if I don't want to wear a beanie?"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"Rock climbing, carrying groceries, anything that requires a lot of upper body movement. Instances where you're focusing downward."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Wearing a coat
In what situations or activities do you think wearing the light logger might be difficult,necklace,"Jumping, running, jogging - it could hit you in the face. If you're wearing any outerwear such as a scarf or coat."
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"Wearing outerwear, for those that may not have arms"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It sits similarly to a watch and is worn on the wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"It is a small device that slips over the top of a t-shirt's collar, sitting along your collarbone."
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"It is a device attached to glasses, and will sit near the head's temple."
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It's attached to a skull cap and sits askew to the center of the forehead.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Slipped over the shoulders like a pair of headphones.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It is a pin situated on one side of the chest.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,A necklace that falls near the sternum.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,A band placed around the arm's bicep.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"I like the idea of a chest pin or something that is situated and does not move. There could be an attachment for tennis shoes, the top of a ball cap."
Do you have any other comments on this survey?,general,"This was extremely interesting, thank you!"
In what situations or activities do you think wearing the light logger might be difficult,wrist,DURING WORKOUT SESSION
In what situations or activities do you think wearing the light logger might be difficult,collarpin,DURING SLEEP HOURS
In what situations or activities do you think wearing the light logger might be difficult,glasses,SLEEP HOURS
In what situations or activities do you think wearing the light logger might be difficult,hatpin,SLEEP HOURS
In what situations or activities do you think wearing the light logger might be difficult,neckloop,SLEEP HOURS
In what situations or activities do you think wearing the light logger might be difficult,chestpin,SLEEP HOURS
In what situations or activities do you think wearing the light logger might be difficult,necklace,SLEEP HOURS
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,SLEEP HOURS
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,LIGHT LOGGER IS PLACRD ON THE ARM AND REACTS TO SENSITIVITY OF LIGHTS
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,PLACED ON THE COLLAR
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,EYES
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,HAT
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,NECK
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,CHEST
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,NECK
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,SLEEVE
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"I THINK IT SHOUL BE WORN AS A BAND,EITHER ON THE WAIST WHERE ITS INVISIBLE"
Do you have any other comments on this survey?,general,NOPE
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Taking a shower, swimming, or any activity where I need to get my wrist wet"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Social situations because I'd get questions about it. If I had to run quickly it might get loose from the imapct.
In what situations or activities do you think wearing the light logger might be difficult,glasses,Social situations because it's obvious and would make people feel like they are being monitored even though it's not a camera
In what situations or activities do you think wearing the light logger might be difficult,hatpin,When I dont want to be wearing a hat
In what situations or activities do you think wearing the light logger might be difficult,neckloop,When being social because it's big and obvious and unnatural. When needing to lay down or take my shirt off.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,When moving quickly it might come undone
In what situations or activities do you think wearing the light logger might be difficult,necklace,When moving quickly it would bounce a lot. If I had to be upside down it would fall off.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"Social contexts because it looks like exercise or medical equipment, it would get questions and unwanted attention"
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Stuck on the collar of my shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,On eye glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Pinned to a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Attached to my chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,On a necklace hanging from the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Strapped to my arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,On a ring or integrated into clothing already
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,"For situations where light loggers could be difficult or impractical would be in cold climates where you wear lots of layers and    oversized clothing that would cover sensor. skin irritation could be another problem.  I don't much more mostly because I think further instances would be dependent on build quality or capability, like; IP water resistance rating etc..."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I think this is has difficulties in cold climates any situation were wearing multiple layers could cause coverage and outside layer is not available. it is more intrusive and eye catching so could be a problem for social contexts.
In what situations or activities do you think wearing the light logger might be difficult,glasses,I think in this age it is socially limiting at least until VR/ AR tools come around. I would not wear it to sleep. I would also be hesitant to wear it while working out.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I think this form factor limits the times the situation you could wear it since it would require a hat or a hair style it allow for it. I think it be difficult for working out due to high motion an impracticality of wearing a hat.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"I think with this design any high motion task working out, up down motions and lying on you back could cause irritation or the item falling off.  Also I see the design as easier to forget to use than the others."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,The only situation or actives I see this design being difficult is in environment where your upper body rubs against surfaces like maybe rock-climbing are plumbing.
In what situations or activities do you think wearing the light logger might be difficult,necklace,The situations that I see the light logger being difficult here are still high active work outs were the logger could bounce and give bad reading. High temperatures activities like welding or cooking where having the logger in a place that can capture could lead to close contact with high heat sources.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I see the same issues as the pins. Clothing covering over this could make it difficult. Jobs where lifting is common might feel irritation.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On your wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"Around the collar bone, Lower neck."
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"On the head, on year ears."
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,"On top of your head, in your hair."
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,"Around the neck, over shoulders."
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,On your chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,"around the neck, upper chest."
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Around your arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,I could see them being around legs. like dosimeters or on shoes. I think if the tech could fit a ring would be one of the best compromises.
Do you have any other comments on this survey?,general,"Thanks for the opportunity to participate! If you would like people how would want to test these out, I would be happy to test them out. Also, curious what type of light this is limited to."
In what situations or activities do you think wearing the light logger might be difficult,wrist,When you are doing work or chores that require a lot of hand movement.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I think wearing it in all situations would be difficult. I would feel it tugging down on my collar al the time.
In what situations or activities do you think wearing the light logger might be difficult,glasses,I wear glasses normally. I would need to get a prescription lens to be able to use this.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"If I am living in a hot environment, this would be difficult to wear."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It doesn't look to be stable. Any sort of fast movement would make it fall.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,When I am wearing clothes that I do not want pin holes through them.
In what situations or activities do you think wearing the light logger might be difficult,necklace,any fast movement such as running or exercise.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,If I need to wear something with long sleeves because of the weather.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,eyes
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,around the neck and on the chest.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,biceps
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,I would design a ring version. It would be low-key key that it would not arouse any questions from anyone and would be small enough to to impede any movement.
Do you have any other comments on this survey?,general,none
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Typing, trapeze exercises, underwater activities"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"jogging, swimming,"
In what situations or activities do you think wearing the light logger might be difficult,glasses,"jogging, swimming, trapeze exercises"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"jogging, swimming"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"running, swimming, trapeze exercises, yoga"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,I do not think it would be difficult.
In what situations or activities do you think wearing the light logger might be difficult,necklace,"jogging, yoga, trapeze, swimming, etc."
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I do not see how it would be.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,THe light logger is worn in the wrist like a watch.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,The light logger is worn clipped to the collar of the neck area.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,The light logger is worn like / on glasses near the temple.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,The light logger is placed on the brim of the hat/headband near the eyebrow.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,The light logger is placed around the neck like a scarf.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,The light logger is placed on the shirt like a name tag on the pectoral region.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,The light logger is worn on the neck in the form of a necklace that rests near the solar pleus.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,The light logger is worn on the arm as an arm band near the bicep.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Make the light logger into stickers that are waterproof.
